               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096836,            0.036449,            0.030835,             0.35346,             0.11776,            0.025675,            0.007955,            0.067042,            0.037483,             0.01884,              0.0757,              0.0027,              0.0027
                   1,            0.072702,            0.033434,            0.016477,             0.78905,             0.21257,             0.21761,            0.076587,             0.05751,            0.028513,            0.012788,            0.049955,           0.0049555,           0.0049555
                   2,            0.069916,            0.027234,            0.012552,               0.376,             0.34621,             0.33535,             0.15188,            0.057621,            0.022818,           0.0088006,            0.023657,           0.0066566,           0.0066566
                   3,            0.064797,            0.024697,            0.010695,             0.44655,             0.70899,              0.6551,             0.30836,            0.055336,            0.020283,           0.0063319,             0.00703,             0.00703,             0.00703
                   4,            0.056738,            0.021535,           0.0084474,             0.55694,             0.83241,              0.7511,             0.36904,            0.052072,             0.01891,           0.0043322,             0.00703,             0.00703,             0.00703
                   5,            0.050932,            0.018361,           0.0066725,             0.94138,             0.86595,             0.94739,             0.52261,            0.036994,            0.017012,           0.0035357,             0.00604,             0.00604,             0.00604
                   6,            0.043426,            0.017453,           0.0056904,             0.75188,             0.86198,             0.86243,             0.49599,            0.035872,            0.015737,           0.0027269,             0.00505,             0.00505,             0.00505
                   7,            0.038036,            0.015003,           0.0045581,             0.90737,             0.97721,             0.97633,             0.62626,            0.031717,            0.014364,           0.0025214,             0.00406,             0.00406,             0.00406
                   8,            0.032642,             0.01406,           0.0033597,             0.97681,             0.98571,             0.99339,             0.65343,            0.029704,            0.013423,            0.002068,             0.00307,             0.00307,             0.00307
                   9,              0.0302,            0.013668,            0.003111,             0.98107,             0.99373,              0.9936,             0.66333,            0.024807,            0.013034,           0.0018414,             0.00208,             0.00208,             0.00208
