               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.075773,            0.032175,            0.022526,              0.9115,             0.29968,             0.46158,             0.18269,            0.049141,            0.025129,            0.013358,            0.070268,           0.0033036,           0.0033036
                   1,            0.054194,            0.022239,            0.010314,             0.39319,              0.8909,             0.78916,             0.35078,            0.043545,            0.015996,            0.010219,            0.039611,           0.0059799,           0.0059799
                   2,            0.050329,            0.015656,           0.0077665,             0.79704,             0.90427,             0.89752,             0.43112,            0.040888,            0.012545,           0.0068072,           0.0082938,           0.0079961,           0.0079961
                   3,            0.042052,            0.013217,           0.0056524,             0.97033,             0.95864,             0.96887,             0.56111,            0.029392,            0.010514,           0.0045975,             0.00703,             0.00703,             0.00703
                   4,             0.03679,            0.011617,           0.0039654,             0.97226,             0.97383,             0.97452,               0.578,            0.025465,           0.0092665,           0.0033608,             0.00703,             0.00703,             0.00703
                   5,            0.031049,            0.010477,           0.0030476,             0.97034,              0.9738,             0.97339,             0.71842,            0.020787,           0.0089225,            0.002593,             0.00604,             0.00604,             0.00604
                   6,            0.026932,           0.0097667,           0.0026117,             0.97452,             0.97465,             0.98028,             0.76952,            0.020188,           0.0084768,           0.0019373,             0.00505,             0.00505,             0.00505
                   7,            0.024016,           0.0094858,           0.0020697,             0.98129,             0.96886,             0.98696,             0.75491,             0.01821,           0.0079314,           0.0014696,             0.00406,             0.00406,             0.00406
                   8,            0.021384,           0.0090296,           0.0017032,             0.97445,             0.97713,             0.98964,              0.7669,            0.016003,           0.0077015,           0.0014131,             0.00307,             0.00307,             0.00307
                   9,            0.019416,           0.0086128,           0.0014102,             0.97739,             0.97747,             0.99194,             0.80634,            0.013333,           0.0073399,           0.0010881,             0.00208,             0.00208,             0.00208
