               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.097064,            0.026153,            0.033733,           0.0012026,             0.66667,            0.033861,            0.010027,            0.064719,            0.026837,            0.027337,              0.0757,              0.0027,              0.0027
                   1,            0.069475,            0.023419,            0.016773,           0.0047613,                   1,             0.22145,             0.10599,            0.053279,             0.02216,            0.016005,            0.049955,           0.0049555,           0.0049555
                   2,            0.062601,            0.020518,            0.011116,              0.3558,             0.66667,              0.6143,             0.26778,            0.047839,            0.019947,           0.0099021,            0.023657,           0.0066566,           0.0066566
                   3,            0.056947,            0.018745,           0.0089919,             0.92165,             0.27491,              0.8973,             0.49337,            0.052801,             0.01653,           0.0066848,             0.00703,             0.00703,             0.00703
                   4,            0.051936,             0.01758,             0.00686,              0.6526,             0.96254,             0.78211,             0.40751,            0.058649,             0.01343,           0.0042866,             0.00703,             0.00703,             0.00703
                   5,            0.045572,             0.01555,           0.0055917,             0.79809,             0.96462,             0.98262,             0.67491,            0.032683,            0.013931,           0.0034051,             0.00604,             0.00604,             0.00604
                   6,            0.040474,            0.014245,           0.0041488,             0.92289,             0.94743,             0.98369,             0.72991,            0.034577,            0.011044,           0.0029078,             0.00505,             0.00505,             0.00505
                   7,            0.037203,            0.011801,           0.0034297,             0.98718,              0.9898,              0.9948,               0.644,            0.029296,           0.0099765,           0.0022681,             0.00406,             0.00406,             0.00406
                   8,            0.031447,            0.011288,           0.0027259,             0.98507,             0.98481,             0.99474,             0.73031,            0.025774,           0.0093135,           0.0017576,             0.00307,             0.00307,             0.00307
                   9,            0.027485,            0.010341,           0.0023543,             0.97609,             0.99398,             0.99421,             0.74895,            0.022964,           0.0088375,           0.0014685,             0.00208,             0.00208,             0.00208
