               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.077382,            0.031992,            0.023341,             0.92345,             0.30739,             0.54149,             0.20157,            0.049587,            0.022529,            0.014043,            0.070345,            0.003295,            0.003295
                   1,            0.056853,            0.022853,            0.010797,              0.6756,             0.71249,             0.76769,             0.33866,            0.049927,            0.015761,           0.0099546,            0.039689,           0.0059721,           0.0059721
                   2,            0.052635,            0.017129,           0.0086372,              0.6748,              0.8828,             0.84956,             0.44031,            0.040468,            0.011874,           0.0069487,           0.0083724,           0.0079893,           0.0079893
                   3,            0.044538,            0.013108,           0.0057986,             0.78373,             0.87778,              0.9115,             0.47286,            0.035929,            0.010568,           0.0048007,             0.00703,             0.00703,             0.00703
                   4,            0.038724,            0.011625,           0.0044653,             0.88473,              0.9482,             0.94193,             0.55588,             0.03238,           0.0091079,           0.0035862,             0.00703,             0.00703,             0.00703
                   5,            0.032645,              0.0103,           0.0033161,             0.97064,             0.97422,             0.97599,             0.69849,            0.023598,           0.0083028,           0.0026254,             0.00604,             0.00604,             0.00604
                   6,            0.028374,           0.0096931,           0.0025493,             0.97581,             0.97422,             0.97721,             0.73055,            0.021184,           0.0079816,           0.0020915,             0.00505,             0.00505,             0.00505
                   7,             0.02538,           0.0094999,           0.0024717,             0.98294,             0.96955,             0.98114,              0.7445,            0.019944,           0.0074209,           0.0017695,             0.00406,             0.00406,             0.00406
                   8,            0.022647,            0.008844,           0.0019662,             0.97765,              0.9708,             0.98035,             0.77093,            0.016686,           0.0071822,           0.0014075,             0.00307,             0.00307,             0.00307
                   9,            0.020024,           0.0082457,           0.0014278,             0.97725,             0.97061,             0.98329,             0.77859,            0.015969,           0.0070885,           0.0012105,             0.00208,             0.00208,             0.00208
